#  Non-editable header begin --------------------------------------------------------------------------------
# 
#  data format...............: continuous
#  setname...................: BDF file
#  filename..................: none_specified
#  filepath..................: none_specified
#  nchan.....................: 64
#  pnts......................: 327936
#  srate.....................: 256
#  nevents...................: 652
#  generated by (bdf)........: 
#  generated by (set)........: BDF file
#  reported in ..............: 
#  prog Version..............: 8.02
#  creation date.............: 18-Nov-2020 17:06:51
#  user Account..............: 
# 
#  Non-editable header end --------------------------------------------------------------------------------

	bin 1,	# 60,	NegLargeDark
	bin 2,	# 60,	NegSmallDark
	bin 3,	# 60,	NegLargeBright
	bin 4,	# 60,	NegSmallBright
	bin 5,	# 60,	NeutLargeDark
	bin 6,	# 60,	NeutSmallDark
	bin 7,	# 60,	NeutLargeBright
	bin 8,	# 60,	NeutSmallBright



# item	 bepoch	  ecode	            label	      onset	          diff	     dura	b_flags	   a_flags	  enable	    bin
#                                                 (sec)           (msec)     (msec)    (binary)   (binary)


46    	0     	     11	 NeutSmallBright	     89.9844	   2054.69	    0.0	    00000000     00000000	   1	[      8]
47    	0     	      4	    NegLargeDark	     92.1367	   2152.34	    0.0	    00000000     00000000	   1	[      1]
48    	0     	     13	     condition13	     94.5430	   2406.25	    0.0	    00000000     00000000	   1	[       ]
49    	0     	      2	      condition2	     95.1719	    628.91	    0.0	    00000000     00000000	   1	[       ]
50    	0     	     11	 NeutSmallBright	     96.8359	   1664.06	    0.0	    00000000     00000000	   1	[      8]
51    	0     	      7	  NegSmallBright	     99.3008	   2464.84	    0.0	    00000000     00000000	   1	[      4]
52    	0     	      6	  NegLargeBright	    101.7344	   2433.59	    0.0	    00000000     00000000	   1	[      3]
53    	0     	      4	    NegLargeDark	    104.0508	   2316.41	    0.0	    00000000     00000000	   1	[      1]
54    	0     	     10	 NeutLargeBright	    106.2422	   2191.41	    0.0	    00000000     00000000	   1	[      7]
55    	0     	      5	    NegSmallDark	    108.3555	   2113.28	    0.0	    00000000     00000000	   1	[      2]
56    	0     	     10	 NeutLargeBright	    110.7188	   2363.28	    0.0	    00000000     00000000	   1	[      7]
57    	0     	      2	      condition2	    112.0898	   1371.09	    0.0	    00000000     00000000	   1	[       ]
58    	0     	     15	     condition15	    113.0742	    984.38	    0.0	    00000000     00000000	   1	[       ]
59    	0     	      2	      condition2	    113.6328	    558.59	    0.0	    00000000     00000000	   1	[       ]
60    	0     	      8	   NeutLargeDark	    115.3789	   1746.09	    0.0	    00000000     00000000	   1	[      5]
61    	0     	      7	  NegSmallBright	    117.4336	   2054.69	    0.0	    00000000     00000000	   1	[      4]
